29
Norway,5305383
Denmark,5733551
Switzerland,8476005
Finland,5523231
Netherlands,17035938
Canada,36624199
New Zealand,4705818
Sweden,9910701
Australia,24450561
Israel,8321570
Austria,8735453
United States,324459463
Ireland,4761657
Germany,82114224
Belgium,11429336
United Kingdom,66181585
Chile,18054726
United Arab Emirates,9400145
Brazil,209288278
Argentina,44271041
Mexico,129163276
Singapore,5708844
Uruguay,3456750
Guatemala,16913503
Malaysia,31624264
Japan,127484450
Nigeria,190886311
South Africa,56717156
Egypt,97553151
46
world,Europe
world,Oceania
world,Africa
world,Asia
world,Americas
Europe,Western Europe
Europe,Northern Europe
Oceania,Australia and New Zealand
Africa,Southern Africa
Africa,Western Africa
Africa,Northern Africa
Asia,Western Asia
Asia,South-Eastern Asia
Asia,Eastern Asia
Americas,Central America
Americas,Northern America
Americas,South America
Northern Europe,Norway
Northern Europe,Denmark
Western Europe,Switzerland
Northern Europe,Finland
Western Europe,Netherlands
Northern America,Canada
Australia and New Zealand,New Zealand
Northern Europe,Sweden
Australia and New Zealand,Australia
Western Asia,Israel
Western Europe,Austria
Northern America,United States
Northern Europe,Ireland
Western Europe,Germany
Western Europe,Belgium
Northern Europe,United Kingdom
South America,Chile
Western Asia,United Arab Emirates
South America,Brazil
South America,Argentina
Central America,Mexico
South-Eastern Asia,Singapore
South America,Uruguay
Central America,Guatemala
South-Eastern Asia,Malaysia
Eastern Asia,Japan
Western Africa,Nigeria
Southern Africa,South Africa
Northern Africa,Egypt
